Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,49.3402,92,<0 11 1 9 10 12 2 13 7 8 16 5 6 14 15 3 4 >
0,0,49.3402,90,<0 11 12 1 9 13 2 10 7 8 15 14 6 5 16 3 4 >
1,1,29.1411,86,<0 2 10 9 13 11 5 8 15 16 1 12 6 4 3 14 7 >
1,1,29.1411,81,<0 9 7 5 8 15 16 1 12 6 4 3 14 10 2 13 11 >
1,1,29.1411,70,<0 9 7 5 8 12 1 16 15 6 4 3 14 10 2 13 11 >
3,3,5.81902,65,<0 1 12 8 7 4 14 15 3 5 6 9 13 2 10 11 16 >
4,3,2.22999,55,<0 11 9 13 2 10 5 15 3 14 6 4 7 16 8 12 1 >
4,4,2.22999,54,<0 11 2 13 9 10 5 6 14 3 15 4 16 7 8 12 1 >
4,4,2.22999,44,<0 1 10 16 7 8 15 14 4 3 6 5 12 9 13 2 11 >
4,4,2.22999,42,<0 1 10 2 13 9 12 5 4 3 6 14 15 8 7 16 11 >
6,6,0.271147,41,<0 11 6 4 3 5 14 15 16 8 7 1 9 10 12 13 2 >
7,7,0.0880508,39,<0 11 5 14 6 15 3 4 8 16 7 10 1 9 12 13 2 >
