Nazwa instancji,Sredni koszt najlepszych rozwiazan,Sredni czas[ms],Srednie zuzycie pamieci,Rozmiar instancji,Optymalny koszt,Procent bledu
tsp_6_1.txt,132,2,0,6,132,0,
br17.atsp,39,9,0,17,39,0,
ftv33.atsp,1683,35,0,34,1286,30.8709,
ftv35.atsp,1791,35,0,36,1473,21.5886,
ftv38.atsp,1778,42,0,39,1530,16.2092,
p43.atsp,5634,56,0,43,5620,0.24911,
ftv44.atsp,2014,58,0,45,1613,24.8605,
ft53.atsp,9514,89,0,53,6905,37.7842,
ftv55.atsp,2012,87,0,56,1608,25.1244,
ftv70.atsp,2571,145,0,71,1950,31.8462,
kro124p.atsp,47506,331,0,100,36230,31.1234,
ftv170.atsp,3923,902,0,171,2755,42.3956,
rbg323.atsp,1734,2797,0,323,1326,30.7692,
rbg358.atsp,1812,3457,0,358,1163,55.804,
rbg403.atsp,3527,4006,0,403,2465,43.0832,
rbg443.atsp,3922,4865,0,443,2720,44.1912,
