Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,1677.61,5768,<0 4 37 36 1 2 3 27 28 29 30 5 6 7 8 9 10 11 31 32 33 34 12 13 14 15 16 17 18 19 20 26 24 22 23 25 35 21 38 39 40 41 42 >
0,0,1677.61,5734,<0 4 37 36 1 2 3 27 28 29 30 5 6 7 8 9 42 41 40 39 38 21 35 25 23 22 24 26 20 19 18 17 16 15 14 13 12 34 33 32 31 11 10 >
7,33,2.9938,5730,<0 4 3 36 15 27 7 11 10 8 5 26 24 25 21 23 22 2 37 39 38 40 42 41 33 18 19 20 16 17 30 12 13 34 14 31 32 9 29 6 1 28 35 >
7,35,2.9938,5724,<0 4 8 10 5 36 26 25 24 21 23 22 2 7 27 3 6 11 31 34 12 14 13 30 33 9 32 29 15 17 19 20 18 16 41 42 40 39 38 37 1 28 35 >
7,35,2.9938,5723,<0 4 8 10 5 36 29 32 9 33 30 13 14 12 34 31 11 6 3 27 7 2 22 23 21 24 25 26 15 17 19 20 18 16 41 42 40 39 38 37 1 28 35 >
7,35,2.9938,5721,<0 4 8 10 33 9 32 29 36 5 30 13 14 12 34 31 11 6 3 27 7 2 22 23 21 24 25 26 15 17 19 20 18 16 41 42 40 39 38 37 1 28 35 >
7,35,2.9938,5719,<0 4 8 10 33 9 32 29 36 5 37 38 39 40 42 41 16 18 19 20 17 15 26 25 24 21 23 22 2 7 27 3 6 11 31 34 12 14 13 30 28 1 35 >
7,36,2.9938,5714,<0 4 36 5 37 39 38 40 42 41 12 13 14 27 1 35 22 23 21 24 25 26 15 17 20 19 18 16 34 31 8 10 33 9 32 29 11 6 3 28 30 7 2 >
7,36,2.9938,5700,<0 4 36 5 37 39 38 40 42 41 16 18 19 20 17 15 26 25 24 21 23 22 35 1 27 14 13 12 34 31 8 10 33 9 32 29 11 6 3 28 30 7 2 >
7,36,2.9938,5696,<0 4 36 5 37 39 38 40 42 41 15 17 20 19 18 16 26 25 24 21 23 22 35 1 7 14 33 9 11 31 8 10 30 3 28 29 32 6 34 12 13 27 2 >
7,36,2.9938,5694,<0 4 36 5 37 39 38 40 42 41 15 17 20 19 18 16 26 25 24 21 23 22 35 1 7 14 33 31 11 9 8 10 30 3 28 29 32 6 34 12 13 27 2 >
7,36,2.9938,5686,<0 4 36 5 37 39 38 40 42 41 15 17 20 19 18 16 26 25 24 21 23 22 35 1 7 14 33 13 12 34 6 32 29 28 3 30 10 8 9 11 31 27 2 >
7,36,2.9938,5666,<0 4 36 5 37 39 38 40 42 41 15 17 20 19 18 16 26 25 24 21 23 22 35 1 7 14 34 12 13 33 6 32 31 11 9 8 10 30 29 28 3 27 2 >
8,37,0.936376,5660,<0 4 37 5 10 8 9 11 31 32 6 33 12 13 34 14 7 30 29 28 3 27 2 35 22 23 21 24 25 26 16 20 19 18 17 15 41 42 40 38 39 36 1 >
8,38,0.936376,5659,<0 4 37 10 8 9 11 31 32 6 12 13 34 33 14 5 7 29 30 28 3 27 2 35 22 23 24 21 25 26 16 20 19 18 17 15 41 42 40 39 38 1 36 >
8,38,0.936376,5647,<0 4 37 10 11 9 8 32 31 30 6 12 13 34 33 14 5 7 29 28 3 27 2 36 1 38 39 40 42 41 15 17 18 19 20 16 26 25 21 24 23 22 35 >
8,39,0.936376,5645,<0 35 23 22 21 24 25 26 16 20 19 18 17 15 41 42 40 39 38 1 36 2 3 27 28 29 7 5 12 13 34 33 14 6 30 31 32 8 9 11 10 37 4 >
8,39,0.936376,5643,<0 35 23 22 21 24 25 26 16 20 19 18 15 17 40 42 41 39 38 1 36 2 3 27 28 29 33 34 14 13 12 5 7 6 30 32 31 8 9 11 10 37 4 >
8,40,0.936376,5639,<0 35 22 23 21 24 25 26 16 17 20 19 18 15 40 42 41 38 39 1 36 2 3 27 28 29 33 34 14 13 12 9 11 10 8 32 31 30 5 7 6 37 4 >
8,40,0.936376,5638,<0 35 22 23 21 24 25 26 16 17 19 20 18 15 41 42 40 38 39 36 1 2 3 27 28 29 33 34 14 13 12 9 8 10 11 32 31 30 5 7 6 37 4 >
10,46,0.0834423,5634,<0 4 37 5 6 29 33 34 12 14 13 8 10 9 11 31 32 30 7 27 28 3 1 2 36 38 39 41 42 40 16 17 18 19 20 15 26 24 25 21 22 23 35 >
