Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,2264.66,8980.92,<0 21 48 31 35 34 33 38 39 37 36 47 23 4 14 5 3 24 45 43 15 49 19 22 30 17 2 18 44 40 7 9 8 42 32 50 11 27 26 25 46 12 13 51 10 28 29 20 16 41 6 1 >
6,40,12.4454,8888.82,<0 21 17 22 19 49 28 29 30 20 1 6 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 26 25 27 11 24 37 39 38 31 48 43 33 34 35 36 47 23 3 5 4 14 45 15 >
6,41,12.4454,8776.39,<0 21 17 30 29 28 49 19 22 20 1 6 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 26 25 27 11 24 37 39 38 31 48 43 33 34 35 36 47 23 3 5 4 14 45 15 >
6,41,12.4454,8621.6,<0 21 17 30 29 28 49 19 22 20 1 6 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 37 39 38 31 48 43 33 34 35 36 47 23 3 5 4 14 45 15 >
6,41,12.4454,8617.3,<0 21 17 30 29 28 49 19 22 20 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 37 39 38 31 48 43 33 34 35 36 47 23 3 5 4 14 45 15 >
6,41,12.4454,8505.55,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 37 39 38 33 43 48 31 34 35 36 47 23 3 5 4 14 45 15 >
6,41,12.4454,8439.77,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 37 39 38 33 43 34 15 45 14 4 5 3 23 47 36 35 48 31 >
6,42,12.4454,8421.22,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 37 39 38 33 43 34 15 45 14 3 5 4 23 47 36 35 48 31 >
6,42,12.4454,8372.05,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 14 3 5 4 23 45 15 34 43 33 38 39 37 47 36 35 48 31 >
6,42,12.4454,8370.98,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 14 3 5 4 23 45 15 34 43 36 47 37 39 38 33 35 48 31 >
6,42,12.4454,8360.98,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 14 3 5 4 23 47 36 43 34 15 45 37 39 38 33 35 48 31 >
6,43,12.4454,8305.51,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 12 13 46 25 26 27 11 24 14 3 5 4 23 47 45 15 34 43 36 37 39 38 33 35 48 31 >
6,43,12.4454,8255.34,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 12 13 46 25 26 27 11 24 5 3 14 4 23 47 45 15 34 43 36 37 39 38 33 35 48 31 >
6,44,12.4454,8219.75,<0 21 17 30 20 22 19 49 28 29 6 1 41 16 2 44 40 18 7 8 9 42 32 50 10 51 12 13 46 25 26 27 11 24 5 3 14 4 23 47 45 15 33 38 39 37 36 43 34 35 48 31 >
6,44,12.4454,8192.57,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 12 13 46 25 26 27 11 24 5 3 14 4 23 47 45 15 33 38 39 37 36 43 34 35 48 31 >
6,45,12.4454,8177.49,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 12 13 46 25 26 27 11 24 5 3 14 4 23 47 45 36 37 39 38 33 15 43 34 35 48 31 >
6,46,12.4454,8177.2,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 5 3 14 4 23 47 45 36 37 39 38 33 15 43 34 35 48 31 >
6,46,12.4454,8102.39,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 3 5 14 4 23 47 45 36 37 39 38 33 15 43 34 35 48 31 >
7,47,4.04144,8084.73,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 3 5 14 4 23 47 45 43 15 33 38 39 37 36 34 35 48 31 >
7,49,4.04144,8052.33,<0 21 17 30 20 22 19 49 28 29 41 1 6 16 2 44 40 18 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 3 5 14 4 23 47 45 43 15 36 37 39 38 33 34 35 48 31 >
8,55,1.26405,7963.69,<0 31 48 35 34 33 38 39 37 36 43 15 45 47 23 4 14 5 3 24 11 27 26 25 46 13 12 51 10 50 32 42 9 8 7 18 40 44 2 16 6 1 41 29 28 49 19 22 20 30 17 21 >
8,59,1.26405,7963.39,<0 31 48 35 34 33 38 39 37 36 43 15 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 18 40 44 2 16 6 1 41 29 28 49 19 22 20 30 17 21 >
