Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,137.089,513.61,<0 31 10 37 4 48 8 49 15 1 28 20 33 29 9 38 32 44 14 43 36 16 3 17 46 11 45 50 26 47 5 13 24 12 40 18 41 39 23 22 6 25 7 30 27 2 19 34 35 21 42 >
6,39,0.753367,513.145,<0 21 2 19 34 35 27 30 6 42 23 22 5 17 13 24 12 40 18 39 3 46 11 41 43 16 36 14 44 32 38 29 33 49 8 20 28 1 15 37 48 9 4 45 50 10 31 26 47 25 7 >
6,40,0.753367,510.008,<0 21 2 19 34 35 27 30 6 42 23 22 5 17 13 24 12 40 18 39 3 46 11 16 43 41 36 14 44 32 38 29 33 49 8 20 28 1 15 37 48 9 4 45 50 10 31 26 47 25 7 >
6,40,0.753367,508.068,<0 21 2 19 34 35 27 30 6 42 23 22 5 17 13 24 12 40 18 39 3 46 11 16 43 41 36 14 44 32 38 29 33 49 15 1 28 20 8 37 48 9 4 45 50 10 31 26 47 25 7 >
6,40,0.753367,504.916,<0 21 2 19 34 35 27 30 6 42 23 22 5 17 13 24 12 40 39 18 3 46 11 16 43 41 36 14 44 32 38 29 33 49 15 1 28 20 8 37 48 9 4 45 50 10 31 26 47 25 7 >
6,42,0.753367,504.419,<0 21 2 19 34 35 27 30 7 25 47 26 31 10 50 45 4 9 48 37 8 20 28 1 15 49 33 29 38 32 44 14 36 41 43 16 11 46 3 18 39 40 12 24 13 17 5 22 23 42 6 >
6,42,0.753367,494.568,<0 6 42 23 22 5 17 13 24 12 40 39 18 41 43 16 11 46 3 36 14 44 32 38 29 33 49 15 1 28 20 8 37 48 9 4 45 50 10 31 26 47 25 7 30 27 35 34 19 2 21 >
6,42,0.753367,489.424,<0 6 42 23 22 5 17 13 24 12 40 39 18 41 43 16 11 46 3 36 14 44 32 38 29 33 20 28 1 15 49 8 37 48 9 4 45 50 10 31 26 47 25 7 30 27 35 34 19 2 21 >
6,43,0.753367,487.688,<0 6 42 23 22 5 17 13 24 12 40 39 18 41 43 16 11 46 3 36 14 44 32 38 29 33 20 28 1 15 49 8 37 48 9 4 45 50 10 31 26 47 7 25 30 27 2 19 34 35 21 >
6,43,0.753367,486.32,<0 6 42 23 22 5 17 13 24 12 40 39 18 41 43 16 11 46 3 36 14 44 32 38 29 33 20 28 1 15 49 8 37 48 9 4 45 50 10 31 26 47 7 25 30 27 35 34 19 2 21 >
6,43,0.753367,474.269,<0 26 31 10 50 45 4 9 48 37 8 49 15 1 28 20 33 29 38 32 44 14 36 3 46 11 16 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 35 34 19 2 21 >
6,44,0.753367,473.256,<0 26 31 10 50 45 4 37 48 9 8 49 15 1 28 20 33 29 38 32 44 14 36 3 46 11 16 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
7,47,0.244644,469.144,<0 26 31 10 45 50 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 3 46 11 16 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
7,47,0.244644,468.887,<0 26 31 10 50 45 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 3 46 11 16 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
7,48,0.244644,468.866,<0 10 31 26 50 45 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 3 46 11 16 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
7,49,0.244644,467.638,<0 10 31 26 50 45 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 16 11 46 3 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
8,51,0.0765176,467.284,<0 31 10 26 50 45 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 16 11 46 3 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 19 34 35 21 >
8,52,0.0765176,462.403,<0 31 10 26 50 45 4 37 8 49 15 1 28 20 33 29 48 9 38 32 44 14 36 16 11 46 3 43 41 18 39 40 12 24 13 17 5 22 23 42 6 47 7 25 30 27 2 35 34 19 21 >
8,57,0.0765176,462.403,<0 21 19 34 35 2 27 30 25 7 47 6 42 23 22 5 17 13 24 12 40 39 18 41 43 3 46 11 16 36 14 44 32 38 9 48 29 33 20 28 1 15 49 8 37 4 45 50 26 10 31 >
9,60,0.023169,462.334,<0 21 19 34 35 2 27 30 25 7 47 6 42 23 22 5 17 13 24 12 40 39 18 41 43 11 46 3 16 36 14 44 32 38 9 48 29 33 20 28 1 15 49 8 37 4 45 50 26 10 31 >
9,60,0.023169,458.799,<0 21 19 34 35 2 27 30 25 7 47 6 42 23 22 5 17 13 24 12 40 39 18 41 43 16 3 46 11 36 14 44 32 38 9 48 29 33 20 28 1 15 49 8 37 4 45 50 26 10 31 >
