Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,1127.88,3333,<0 11 3 10 19 9 17 20 14 1 13 12 16 18 6 7 5 15 4 8 2 >
4,6,50.9761,3314,<0 11 7 6 5 3 19 10 18 16 9 17 14 12 13 20 1 2 8 4 15 >
4,6,50.9761,3230,<0 11 7 6 5 3 19 10 18 16 9 17 20 13 12 14 1 2 8 4 15 >
4,6,50.9761,3209,<0 11 7 6 5 3 19 10 18 16 9 17 20 14 12 13 1 2 8 4 15 >
5,6,18.2595,3174,<0 11 7 5 6 3 19 10 18 16 9 17 20 14 12 13 1 2 8 4 15 >
5,6,18.2595,3131,<0 11 5 7 6 3 19 10 18 16 9 17 20 14 12 13 1 2 8 4 15 >
5,6,18.2595,3079,<0 11 5 7 6 15 4 8 2 1 13 12 14 20 17 9 16 18 10 19 3 >
5,6,18.2595,2961,<0 11 6 7 5 15 4 8 2 1 13 12 14 20 17 9 16 18 10 19 3 >
5,6,18.2595,2916,<0 11 6 7 5 15 4 8 2 1 20 14 12 13 17 9 16 18 10 19 3 >
6,7,6.19825,2869,<0 11 6 7 5 15 4 8 2 1 20 14 12 13 17 9 16 18 19 10 3 >
6,7,6.19825,2867,<0 6 7 5 15 4 8 2 1 20 14 12 13 17 9 16 18 19 10 3 11 >
6,7,6.19825,2858,<0 6 7 5 15 4 8 2 1 14 20 12 13 17 9 16 18 19 10 3 11 >
6,8,6.19825,2851,<0 6 7 5 15 4 8 2 1 14 20 17 13 12 9 16 18 19 10 3 11 >
9,11,0.190621,2816,<0 11 3 10 19 18 16 9 20 17 12 13 14 1 2 8 4 15 5 7 6 >
