Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,236.807,805.531,<0 35 22 46 15 36 57 49 9 51 59 11 20 33 32 53 61 47 66 55 64 50 10 63 4 52 65 62 21 58 37 68 30 12 28 69 34 56 14 23 1 6 31 2 7 27 25 48 54 18 3 17 41 5 40 42 16 8 39 60 38 44 24 45 26 67 43 29 19 13 >
6,92,1.30137,795.143,<0 35 15 46 57 36 9 51 4 49 63 64 50 55 10 66 47 53 61 32 11 59 33 20 16 42 8 39 60 38 44 24 45 26 67 43 13 19 29 27 2 31 5 40 41 17 52 3 1 6 25 54 48 7 18 23 14 56 62 65 21 58 34 12 69 28 30 68 37 22 >
6,93,1.30137,781.762,<0 22 37 68 30 28 69 12 34 58 21 65 62 56 14 23 18 7 48 54 25 6 1 3 52 5 40 41 17 31 2 27 29 19 13 43 67 26 45 24 44 38 60 39 8 42 16 20 33 59 11 32 61 53 66 47 10 55 50 64 63 49 4 51 9 36 57 46 15 35 >
6,93,1.30137,777.522,<0 22 37 68 30 28 69 12 34 58 21 65 62 56 14 23 18 2 31 17 41 40 5 52 3 1 6 25 54 48 7 27 29 19 13 43 67 26 45 24 44 38 60 39 8 42 16 20 33 59 11 32 61 53 66 47 10 55 50 64 63 49 4 51 9 36 57 46 15 35 >
6,94,1.30137,769.098,<0 22 37 68 30 28 69 12 34 58 21 65 62 56 14 23 18 2 31 17 41 40 5 52 3 1 6 25 54 48 7 27 29 19 13 43 67 26 45 24 44 38 60 39 8 42 16 20 33 11 59 32 61 53 66 47 10 55 50 64 63 49 4 51 9 36 57 46 15 35 >
6,94,1.30137,767.35,<0 15 46 57 36 9 51 4 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 44 24 45 26 67 43 13 19 29 27 7 48 54 25 6 1 3 52 5 40 41 17 31 2 18 23 14 56 62 65 21 58 34 12 69 28 30 68 37 22 35 >
6,94,1.30137,763.916,<0 15 46 57 36 4 51 9 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 44 24 45 26 67 43 13 19 29 27 7 48 54 25 6 1 3 52 5 40 41 17 31 2 18 23 14 56 62 65 21 58 34 12 69 28 30 68 37 22 35 >
6,94,1.30137,762.108,<0 15 46 57 36 4 9 51 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 44 24 45 26 67 43 13 19 29 27 7 48 54 25 6 1 3 52 5 40 41 17 31 2 18 23 14 56 62 65 21 58 34 12 69 28 30 68 37 22 35 >
6,94,1.30137,762.106,<0 15 46 57 36 4 9 51 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 24 44 45 26 67 43 13 19 29 27 7 48 54 25 6 1 3 52 5 40 41 17 31 2 18 23 14 56 62 65 21 58 34 12 69 28 30 68 37 22 35 >
6,94,1.30137,753.68,<0 15 46 57 36 4 9 51 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 24 44 45 26 67 43 13 19 29 27 7 48 54 25 6 1 3 52 5 40 41 17 31 2 18 23 14 56 62 65 21 58 34 69 12 28 30 68 37 22 35 >
6,95,1.30137,740.778,<0 15 46 57 36 4 9 51 49 63 64 50 55 10 47 66 53 61 32 59 11 33 20 16 42 8 39 60 38 24 44 45 26 67 43 13 19 29 27 7 48 54 25 2 31 17 41 40 5 52 3 1 6 18 23 14 56 62 65 21 58 34 69 12 28 30 68 37 22 35 >
