Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,46.6712,580,<9 3 12 7 2 5 11 13 10 6 8 4 0 1 >
0,0,46.6712,567,<10 3 9 12 11 1 4 8 7 6 13 2 5 0 >
0,0,46.6712,544,<10 3 9 12 8 1 4 11 7 6 13 2 5 0 >
0,0,46.6712,540,<10 3 9 5 8 1 4 11 7 6 13 2 12 0 >
0,0,46.6712,515,<10 3 9 5 8 1 4 2 7 6 13 11 12 0 >
0,0,46.6712,482,<10 3 7 5 8 9 4 6 2 1 13 11 12 0 >
0,0,46.6712,481,<10 3 7 5 8 9 4 6 1 2 13 11 12 0 >
2,1,46.2056,462,<4 7 2 6 8 5 3 13 11 9 1 12 0 10 >
3,1,45.9746,458,<0 4 6 13 5 7 2 11 9 8 1 3 10 12 >
4,1,45.7447,438,<12 13 11 9 5 7 2 8 4 6 1 3 10 0 >
5,2,45.516,430,<5 2 6 4 8 11 13 9 3 10 7 12 0 1 >
11,5,44.1675,415,<1 12 7 13 6 8 4 2 11 9 5 3 0 10 >
14,6,43.5083,406,<13 2 6 12 1 8 4 0 3 5 10 7 9 11 >
14,6,43.5083,400,<13 2 6 12 1 8 4 0 5 3 10 7 9 11 >
14,6,43.5083,395,<13 2 0 12 1 8 4 6 5 3 10 7 9 11 >
33,15,39.5558,392,<10 1 8 9 4 6 2 11 13 5 7 12 0 3 >
48,22,36.6908,384,<11 3 5 7 12 0 10 1 8 4 6 9 2 13 >
62,28,34.2042,370,<10 0 12 7 9 5 3 11 13 2 6 4 8 1 >
81,37,31.097,364,<12 0 7 9 2 11 13 5 3 10 1 4 6 8 >
100,46,28.272,340,<7 5 3 10 0 12 1 2 11 13 9 6 4 8 >
150,69,22.0045,332,<11 2 8 4 6 9 1 12 0 10 3 5 7 13 >
168,77,20.1061,301,<8 4 1 12 0 10 3 5 7 9 13 11 2 6 >
168,77,20.1061,282,<4 8 1 12 0 10 3 5 7 9 13 11 2 6 >
