Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,150.415,7491,<8 17 26 40 5 19 24 39 44 32 45 27 36 25 20 42 33 35 47 54 13 53 28 16 41 37 31 23 29 18 9 30 1 21 51 55 38 4 48 2 15 46 6 22 43 34 49 52 0 10 3 50 11 14 7 12 >
0,0,150.415,7472,<8 17 26 40 5 19 10 34 44 32 39 27 36 25 20 42 33 35 47 54 15 21 28 16 41 37 53 23 55 18 9 30 1 31 51 29 38 4 48 2 3 46 45 22 43 6 24 52 0 49 7 50 11 14 13 12 >
0,0,150.415,7359,<8 17 26 40 5 19 10 34 44 32 49 27 36 25 20 42 33 35 47 54 15 21 28 16 41 37 53 23 55 18 9 30 1 31 51 29 38 4 48 2 3 46 45 22 43 6 24 52 0 39 7 50 11 14 13 12 >
0,0,150.415,7243,<8 17 26 40 5 19 10 34 44 32 49 27 36 25 20 42 33 35 47 54 15 21 28 16 41 37 53 23 55 18 9 30 1 31 51 29 38 4 48 2 3 6 45 22 43 46 24 52 0 39 7 50 11 14 13 12 >
0,0,150.415,6978,<8 17 26 40 5 19 10 34 44 32 49 27 36 25 20 42 33 35 47 54 15 21 28 16 9 37 53 23 55 18 41 30 1 31 51 29 38 4 48 2 3 6 45 22 43 46 24 52 0 39 7 50 11 14 13 12 >
0,0,150.415,6961,<0 17 26 40 5 19 10 34 44 32 49 27 36 25 20 42 33 35 47 54 15 21 28 16 9 37 53 23 55 18 41 30 1 31 51 29 38 4 48 2 3 6 45 22 43 46 24 52 8 39 7 50 11 14 13 12 >
0,0,150.415,6946,<0 10 26 40 5 19 18 13 44 32 49 27 31 25 20 42 33 35 22 54 15 21 45 16 9 37 53 23 55 17 41 30 1 36 51 29 38 4 48 2 3 6 28 47 43 8 24 52 46 50 7 39 11 14 34 12 >
0,0,150.415,6855,<0 10 26 40 5 19 18 13 33 32 49 27 31 25 20 42 44 35 22 54 15 21 45 16 9 37 53 23 55 17 41 30 1 36 51 29 38 4 48 2 3 6 28 47 43 8 24 52 46 50 7 39 11 14 34 12 >
0,0,150.415,6686,<0 10 26 40 5 19 18 13 33 32 49 47 31 25 20 42 44 35 22 54 15 21 45 16 9 37 53 23 55 17 41 30 1 36 51 29 38 4 48 2 3 6 28 27 43 8 24 52 46 50 7 39 11 14 34 12 >
0,0,150.415,6616,<8 10 26 40 19 5 18 13 33 32 49 35 31 25 20 42 44 47 22 54 15 21 45 16 9 37 53 23 55 17 24 30 1 36 51 29 38 4 48 2 3 6 28 27 41 0 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6564,<8 10 26 40 19 5 18 13 33 32 49 35 31 25 20 42 0 47 22 54 15 21 45 16 9 37 53 23 55 17 24 30 1 36 51 29 38 4 48 3 2 6 28 27 41 44 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6552,<8 10 26 40 19 5 18 13 33 51 49 35 31 25 20 42 0 47 22 54 15 21 45 16 9 37 53 23 55 17 24 30 1 36 32 29 38 4 48 3 2 6 28 27 41 44 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6415,<8 10 26 40 19 5 18 13 33 51 49 35 31 25 20 42 0 47 44 54 15 21 27 16 9 37 53 23 55 17 24 30 1 36 32 29 38 4 48 3 2 6 28 45 41 22 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6338,<8 10 26 40 19 5 18 13 37 51 49 35 31 25 20 42 0 47 44 54 15 21 27 16 9 33 53 23 55 17 24 30 1 36 32 29 38 4 48 3 2 6 28 45 41 22 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6296,<8 10 26 40 19 41 18 13 37 51 49 35 31 25 20 42 0 47 44 54 15 21 27 16 9 33 53 23 55 17 24 30 1 36 32 29 38 4 48 3 2 6 28 45 5 22 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6287,<8 10 26 40 19 41 18 13 37 51 49 35 31 25 20 42 0 47 44 54 15 21 27 16 9 33 53 23 30 17 24 55 1 36 32 29 38 4 48 3 2 6 28 45 5 22 43 52 14 50 7 39 11 46 34 12 >
0,0,150.415,6224,<8 10 26 40 19 41 18 13 37 51 30 33 31 25 20 42 0 47 44 54 15 21 27 16 9 35 14 23 49 32 24 55 1 36 17 29 38 4 48 3 2 6 28 45 5 22 43 52 53 50 7 39 11 46 34 12 >
0,0,150.415,6096,<8 39 26 40 19 41 18 13 37 53 30 33 31 25 20 42 0 47 44 54 15 21 27 16 9 35 14 6 7 32 24 55 1 36 17 29 38 4 48 3 2 23 28 45 5 22 43 52 51 50 49 10 11 46 34 12 >
0,0,150.415,6001,<8 39 26 40 19 41 18 13 37 53 30 33 31 25 20 42 0 47 44 16 15 21 27 54 9 35 14 6 7 32 24 55 1 36 17 29 38 4 48 3 2 23 28 45 5 22 43 52 51 50 49 10 11 46 34 12 >
0,0,150.415,5906,<8 39 26 40 19 41 18 13 37 31 30 33 4 25 20 42 0 47 53 16 15 21 27 54 44 34 14 6 7 32 24 55 1 46 17 29 38 9 48 5 2 23 28 45 3 22 43 52 51 50 49 10 11 36 35 12 >
0,0,150.415,5898,<8 39 26 40 19 41 18 13 37 31 30 33 4 25 20 42 0 47 53 16 15 21 27 54 44 34 14 6 7 32 24 55 1 46 17 29 38 9 48 5 51 23 28 45 3 22 43 52 2 50 49 10 11 36 35 12 >
0,0,150.415,5840,<8 39 26 40 19 41 18 36 37 31 30 33 2 25 20 42 0 47 53 16 15 21 27 54 44 34 14 6 7 32 24 5 1 46 17 29 38 9 48 55 51 23 28 45 3 22 43 52 4 50 49 10 11 13 35 12 >
0,0,150.415,5752,<6 39 26 40 19 41 18 36 37 31 30 33 2 25 20 42 0 47 53 16 15 21 27 54 44 34 14 8 7 32 24 5 1 46 17 29 38 9 48 55 51 23 28 45 3 22 43 52 4 50 49 10 11 13 35 12 >
0,0,150.415,5632,<6 39 26 40 19 41 18 36 37 31 30 33 2 25 20 42 0 47 53 16 15 21 27 54 44 34 14 8 7 32 24 35 48 46 17 29 38 9 51 55 1 23 28 45 3 22 43 52 4 50 49 10 11 13 5 12 >
0,0,150.415,5610,<6 35 26 40 19 41 18 36 37 33 30 31 29 25 22 42 0 47 53 16 15 21 27 54 44 34 14 8 7 32 24 11 48 46 17 2 38 9 51 55 1 23 28 45 3 20 43 52 4 50 49 10 39 13 5 12 >
0,0,150.415,5551,<1 4 32 7 35 14 36 3 22 29 49 13 16 40 21 54 34 0 38 44 41 27 28 45 55 46 17 33 15 20 43 30 5 47 53 42 2 11 26 24 6 31 50 23 18 9 8 10 12 51 37 25 19 39 52 48 >
0,0,150.415,5494,<1 3 32 7 11 14 36 4 38 29 55 13 16 40 21 54 34 0 46 44 23 27 28 45 49 22 17 33 15 18 43 30 5 47 53 42 2 35 26 24 6 31 50 41 20 9 8 10 12 51 37 25 19 39 52 48 >
